Course_ID,Passengers,Hour_Min,Hour_Max,Hour_Avg,Pickups,Dropoffs
0,2,10,10,10.0,2,1
1,4,10,10,10.0,4,1
2,4,10,10,10.0,4,1
3,2,10,10,10.0,2,1
4,4,19,19,19.0,1,4
5,4,10,10,10.0,4,1
6,4,10,10,10.0,4,1
7,4,10,10,10.0,3,1
8,4,19,19,19.0,1,4
9,4,10,10,10.0,4,1
10,4,10,10,10.0,4,1
11,4,10,10,10.0,3,1
12,4,19,19,19.0,1,4
13,4,10,10,10.0,4,1
14,4,10,10,10.0,4,1
15,4,10,10,10.0,2,1
16,4,19,19,19.0,1,4
17,4,10,10,10.0,4,1
18,4,10,10,10.0,4,1
19,4,10,10,10.0,3,1
20,4,19,19,19.0,1,4
21,4,10,10,10.0,3,1
22,4,10,10,10.0,3,1
23,4,10,10,10.0,3,2
24,4,19,19,19.0,1,3
25,4,10,10,10.0,4,1
26,4,10,10,10.0,3,1
27,4,10,10,10.0,4,1
28,4,19,19,19.0,1,4
29,4,10,10,10.0,3,1
30,4,10,10,10.0,4,1
31,4,10,10,10.0,4,1
32,4,19,19,19.0,1,4
33,4,10,10,10.0,4,1
34,4,10,10,10.0,3,1
35,4,10,10,10.0,4,1
36,4,19,19,19.0,1,4
37,4,10,10,10.0,3,1
38,4,10,10,10.0,4,1
39,4,10,10,10.0,4,1
40,4,19,19,19.0,1,4
41,4,10,10,10.0,3,1
42,4,10,10,10.0,3,1
43,4,19,19,19.0,1,3
44,4,10,10,10.0,4,1
45,4,10,10,10.0,3,1
46,4,10,10,10.0,4,1
47,4,19,19,19.0,2,4
48,4,10,10,10.0,4,1
49,4,10,10,10.0,3,1
50,4,10,10,10.0,3,1
51,4,19,19,19.0,1,3
52,4,10,10,10.0,4,1
53,4,10,10,10.0,4,1
54,4,10,10,10.0,3,1
55,4,19,19,19.0,1,4
56,4,10,10,10.0,4,1
57,4,10,10,10.0,3,1
58,4,10,10,10.0,3,1
59,4,19,19,19.0,1,3
60,4,10,10,10.0,4,1
61,4,10,10,10.0,3,1
62,4,10,10,10.0,3,1
63,4,19,19,19.0,1,3
64,4,10,10,10.0,3,1
65,4,10,10,10.0,3,1
66,4,10,10,10.0,4,1
67,4,19,19,19.0,1,3
68,4,10,10,10.0,4,1
69,4,10,10,10.0,4,1
70,4,10,10,10.0,4,1
71,4,19,19,19.0,1,3
72,4,19,19,19.0,1,4
73,4,10,10,10.0,4,1
74,4,10,10,10.0,4,1
75,4,10,10,10.0,4,1
76,4,10,10,10.0,4,1
77,4,10,10,10.0,4,1
78,4,10,10,10.0,4,1
79,4,19,19,19.0,1,3
80,4,10,10,10.0,2,1
81,4,10,10,10.0,4,1
82,1,10,10,10.0,1,1
83,4,19,19,19.0,1,4
84,4,19,19,19.0,2,2
85,4,19,19,19.0,2,4
86,4,19,19,19.0,2,4
87,4,19,19,19.0,2,4
88,2,19,19,19.0,1,2
89,4,10,10,10.0,2,1
90,4,10,10,10.0,3,1
91,4,10,10,10.0,4,1
92,2,10,10,10.0,2,1
93,4,10,10,10.0,4,1
94,4,19,19,19.0,1,3
95,4,19,19,19.0,1,2
96,4,19,19,19.0,1,4
97,4,19,19,19.0,1,4
98,4,19,19,19.0,1,4
99,3,19,19,19.0,1,2
100,4,10,10,10.0,2,1
101,4,10,10,10.0,3,1
102,4,10,10,10.0,4,1
