Course_ID,Passengers,Main_Route,Hour_Min,Hour_Max,Hour_Avg,Pickups,Dropoffs
0,5,Mousqué Errawdha → lac3,8,19,11.4,1,2
1,4,Mousqué Errawdha → lac3,10,10,10.0,1,1
2,4,Mousqué Errawdha → lac3,10,10,10.0,1,1
3,4,Mousqué Errawdha → lac3,10,10,10.0,1,1
4,4,Mousqué Errawdha → lac3,10,10,10.0,1,1
5,4,Mousqué Errawdha → lac3,10,10,10.0,1,1
6,4,Mousqué Errawdha → lac3,10,10,10.0,1,1
7,4,Mousqué Errawdha → lac3,10,10,10.0,1,1
8,4,Mousqué Errawdha → lac3,10,10,10.0,1,1
9,4,Mousqué Errawdha → lac3,10,10,10.0,1,1
10,2,Mousqué Errawdha → lac3,10,10,10.0,1,1
11,4,Bhar lazrek → lac3,10,10,10.0,1,1
12,4,Bhar lazrek → lac3,10,10,10.0,1,1
13,4,Bhar lazrek → lac3,10,10,10.0,1,1
14,4,Bhar lazrek → lac3,10,10,10.0,1,1
15,4,Bhar lazrek → lac3,10,10,10.0,1,1
16,4,Bhar lazrek → lac3,10,10,10.0,1,1
17,4,Bhar lazrek → lac3,10,10,10.0,1,1
18,4,Bhar lazrek → lac3,10,10,10.0,1,1
19,4,Bhar lazrek → lac3,10,10,10.0,1,1
20,4,Menzeh 7 → lac3,10,10,10.0,1,1
21,4,Menzeh 7 → lac3,10,10,10.0,1,1
22,4,Menzeh 7 → lac3,10,10,10.0,1,1
23,4,Menzeh 7 → lac3,10,10,10.0,1,1
24,4,Menzeh 7 → lac3,10,10,10.0,1,1
25,4,Menzeh 7 → lac3,10,10,10.0,1,1
26,4,Menzeh 7 → lac3,10,10,10.0,1,1
27,4,Menzeh 7 → lac3,10,10,10.0,1,1
28,1,Menzeh 7 → lac3,10,10,10.0,1,1
29,4,Beb Laassal → lac3,10,10,10.0,1,1
30,4,Beb Laassal → lac3,10,10,10.0,1,1
31,4,Beb Laassal → lac3,10,10,10.0,1,1
32,4,Beb Laassal → lac3,10,10,10.0,1,1
33,4,Beb Laassal → lac3,10,10,10.0,1,1
34,4,Beb Laassal → lac3,10,10,10.0,1,1
35,4,Beb Laassal → lac3,10,10,10.0,1,1
36,2,Beb Laassal → lac3,10,10,10.0,1,1
37,4,Manar 1 → lac3,10,10,10.0,1,1
38,4,Manar 1 → lac3,10,10,10.0,1,1
39,4,Manar 1 → lac3,10,10,10.0,1,1
40,4,Manar 1 → lac3,10,10,10.0,1,1
41,4,Manar 1 → lac3,10,10,10.0,1,1
42,4,Manar 1 → lac3,10,10,10.0,1,1
43,4,Manar 1 → lac3,10,10,10.0,1,1
44,2,Manar 1 → lac3,10,10,10.0,1,1
45,4,lac3 → Manar 1,19,19,19.0,1,1
46,4,lac3 → Manar 1,19,19,19.0,1,1
47,4,lac3 → Manar 1,19,19,19.0,1,1
48,4,lac3 → Manar 1,19,19,19.0,1,1
49,4,lac3 → Manar 1,19,19,19.0,1,1
50,4,lac3 → Manar 1,19,19,19.0,1,1
51,4,lac3 → Manar 1,19,19,19.0,1,1
52,2,lac3 → Manar 1,19,19,19.0,1,1
53,4,lac3 → Bhar lazrek,19,19,19.0,1,1
54,4,lac3 → Bhar lazrek,19,19,19.0,1,1
55,4,lac3 → Bhar lazrek,19,19,19.0,1,1
56,4,lac3 → Bhar lazrek,19,19,19.0,1,1
57,4,lac3 → Bhar lazrek,19,19,19.0,1,1
58,4,lac3 → Bhar lazrek,19,19,19.0,1,1
59,4,lac3 → Bhar lazrek,19,19,19.0,1,1
60,1,lac3 → Bhar lazrek,19,19,19.0,1,1
61,4,lac3 → Mousqué Errawdha,19,19,19.0,1,1
62,4,lac3 → Mousqué Errawdha,19,19,19.0,1,1
63,4,lac3 → Mousqué Errawdha,19,19,19.0,1,1
64,4,lac3 → Mousqué Errawdha,19,19,19.0,1,1
65,4,lac3 → Mousqué Errawdha,19,19,19.0,1,1
66,4,lac3 → Mousqué Errawdha,19,19,19.0,1,1
67,4,lac3 → Mousqué Errawdha,19,19,19.0,1,1
68,1,lac3 → Mousqué Errawdha,19,19,19.0,1,1
69,4,lac3 → Menzeh 7,19,19,19.0,1,1
70,4,lac3 → Menzeh 7,19,19,19.0,1,1
71,4,lac3 → Menzeh 7,19,19,19.0,1,1
